tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2008-1536,Madrid Masters,Hard,48,M,20081012,300,103586,103690,7,,102405,101956,4,,6-4 6-2,3,F,Mariusz Fyrstenberg,L,193,POL,28.2655715264,Marcin Matkowski,R,188,POL,27.742642026,Mahesh Bhupathi,R,185,IND,34.3518138261,Mark Knowles,R,190,BAH,37.1088295688,19,1825,19,1825,11,2790,5,3475,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,299,102405,101956,4,,102035,102061,5,,6-2 6-4,3,SF,Mahesh Bhupathi,R,185,IND,34.3518138261,Mark Knowles,R,190,BAH,37.1088295688,Jonas Bjorkman,R,183,SWE,36.5585215606,Kevin Ullyett,R,178,ZIM,36.3915126626,11,2790,5,3475,12,2740,9,2875,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,298,103586,103690,7,,102979,103325,8,,6-7 7-6 12-10,3,SF,Mariusz Fyrstenberg,L,193,POL,28.2655715264,Marcin Matkowski,R,188,POL,27.742642026,Jeff Coetzee,R,173,RSA,31.4688569473,Wesley Moodie,R,196,RSA,29.6618754278,19,1825,19,1825,13,2160,18,1845,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,297,102035,102061,5,,103184,103185,1,,6-4 6-4,3,QF,Jonas Bjorkman,R,183,SWE,36.5585215606,Kevin Ullyett,R,178,ZIM,36.3915126626,Bob Bryan,L,193,USA,30.4585900068,Mike Bryan,R,190,USA,30.4585900068,12,2740,9,2875,1,5825,1,5825,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,296,103586,103690,7,,102110,102800,2,,6-3 3-6 11-9,3,QF,Mariusz Fyrstenberg,L,193,POL,28.2655715264,Marcin Matkowski,R,188,POL,27.742642026,Daniel Nestor,L,190,CAN,36.1067761807,Nenad Zimonjic,R,190,SRB,32.3586584531,19,1825,19,1825,3,5635,4,5045,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,295,102405,101956,4,,102388,102382,6,,6-3 7-5,3,QF,Mahesh Bhupathi,R,185,IND,34.3518138261,Mark Knowles,R,190,BAH,37.1088295688,Simon Aspelin,R,185,SWE,34.4257357974,Julian Knowle,L,188,AUT,34.4585900068,11,2790,5,3475,14,2105,15,2065,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,294,102979,103325,8,,104665,104719,,WC,7-6 6-3,3,QF,Jeff Coetzee,R,173,RSA,31.4688569473,Wesley Moodie,R,196,RSA,29.6618754278,Pablo Andujar,R,180,ESP,22.7214236824,Marcel Granollers,R,190,ESP,22.5051334702,13,2160,18,1845,478,98,51,1075,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,293,103184,103185,1,,104249,102987,,,6-1 6-4,3,R16,Bob Bryan,L,193,USA,30.4585900068,Mike Bryan,R,190,USA,30.4585900068,Marcelo Melo,R,203,BRA,25.0568104038,Andre Sa,R,185,BRA,31.4387405886,1,5825,1,5825,21,1740,23,1690,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,292,102110,102800,2,,103852,104269,,,7-6 6-4,3,R16,Daniel Nestor,L,190,CAN,36.1067761807,Nenad Zimonjic,R,190,SRB,32.3586584531,Feliciano Lopez,L,188,ESP,27.0636550308,Fernando Verdasco,L,188,ESP,24.9117043121,3,5635,4,5045,43,1110,49,1090,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,291,104665,104719,,WC,104160,102233,3,,6-1 3-6 10-7,3,R16,Pablo Andujar,R,180,ESP,22.7214236824,Marcel Granollers,R,190,ESP,22.5051334702,Lukas Dlouhy,R,185,CZE,25.5140314853,Leander Paes,R,178,IND,35.3237508556,478,98,51,1075,10,2855,7,3025,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,290,102405,101956,4,,102845,104745,,,W/O,3,R16,Mahesh Bhupathi,R,185,IND,34.3518138261,Mark Knowles,R,190,BAH,37.1088295688,Carlos Moya,R,190,ESP,32.128678987,Rafael Nadal,L,185,ESP,22.3627652293,11,2790,5,3475,,,112,575,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,289,102035,102061,5,,104607,103017,,,6-3 3-6 10-7,3,R16,Jonas Bjorkman,R,183,SWE,36.5585215606,Kevin Ullyett,R,178,ZIM,36.3915126626,Tomas Berdych,R,196,CZE,23.0718685832,Nicolas Kiefer,R,183,GER,31.2744695414,12,2740,9,2875,177,340,424,115,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,288,102388,102382,6,,102463,103900,,,7-6 7-6,3,R16,Simon Aspelin,R,185,SWE,34.4257357974,Julian Knowle,L,188,AUT,34.4585900068,Lucas Arnold Ker,R,180,ARG,34.0041067762,David Nalbandian,R,180,ARG,26.7816563997,14,2105,15,2065,46,1101,157,375,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,287,103586,103690,7,,103096,103566,,,7-5 7-6,3,R16,Mariusz Fyrstenberg,L,193,POL,28.2655715264,Marcin Matkowski,R,188,POL,27.742642026,Arnaud Clement,R,173,FRA,30.8227241615,Michael Llodra,L,190,FRA,28.4052019165,19,1825,19,1825,29,1570,22,1710,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,286,102979,103325,8,,103018,103990,,,6-7 7-6 10-8,3,R16,Jeff Coetzee,R,173,RSA,31.4688569473,Wesley Moodie,R,196,RSA,29.6618754278,Max Mirnyi,R,196,BLR,31.2717316906,Tommy Robredo,R,180,ESP,26.4531143053,13,2160,18,1845,26,1625,37,1275,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,285,104665,104719,,WC,103544,104022,,,6-2 6-2,3,R32,Pablo Andujar,R,180,ESP,22.7214236824,Marcel Granollers,R,190,ESP,22.5051334702,Andy Ram,R,180,ISR,28.5092402464,Mikhail Youzhny,R,183,RUS,26.302532512,478,98,51,1075,6,3220,47,1095,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,284,102463,103900,,,102093,101779,,,6-4 6-4,3,R32,Lucas Arnold Ker,R,180,ARG,34.0041067762,David Nalbandian,R,180,ARG,26.7816563997,Martin Damm,R,188,CZE,36.1998631075,Pavel Vizner,R,183,CZE,38.2477754962,46,1101,157,375,25,1640,17,1955,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,283,104607,103017,,,104792,104468,,,6-3 6-2,3,R32,Tomas Berdych,R,196,CZE,23.0718685832,Nicolas Kiefer,R,183,GER,31.2744695414,Gael Monfils,R,193,FRA,22.1163586585,Gilles Simon,R,183,FRA,23.794661191,177,340,424,115,,,397,125,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,282,103096,103566,,,104918,104679,,,6-4 6-3,3,R32,Arnaud Clement,R,173,FRA,30.8227241615,Michael Llodra,L,190,FRA,28.4052019165,Andy Murray,R,190,GBR,21.4154688569,Jamie Murray,L,190,GBR,22.6639288159,29,1570,22,1710,221,270,33,1455,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,281,103852,104269,,,103602,103577,,,6-4 6-3,3,R32,Feliciano Lopez,L,188,ESP,27.0636550308,Fernando Verdasco,L,188,ESP,24.9117043121,Fernando Gonzalez,R,183,CHI,28.2080766598,Christopher Kas,R,188,GER,28.334017796,43,1110,49,1090,149,400,32,1498,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,280,104249,102987,,,104620,104312,,WC,4-6 6-3 10-2,3,R32,Marcelo Melo,R,203,BRA,25.0568104038,Andre Sa,R,185,BRA,31.4387405886,Simone Bolelli,R,183,ITA,23.0143737166,Andreas Seppi,R,190,ITA,24.643394935,21,1740,23,1690,120,525,124,499,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,279,103018,103990,,,102860,103970,,,6-3 6-4,3,R32,Max Mirnyi,R,196,BLR,31.2717316906,Tommy Robredo,R,180,ESP,26.4531143053,Agustin Calleri,R,183,ARG,32.0793976728,David Ferrer,R,175,ESP,26.5325119781,26,1625,37,1275,77,885,294,190,,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,278,102845,104745,,,103484,103888,,,4-6 7-6 10-5,3,R32,Carlos Moya,R,190,ESP,32.128678987,Rafael Nadal,L,185,ESP,22.3627652293,James Blake,R,185,USA,28.7939767283,Mardy Fish,R,188,USA,26.8446269678,,,112,575,128,475,82,805,,,,,,,,,,,,,,,,,,,,
2008-1720,Bangkok,Hard,28,A,20080922,300,104160,102233,1,,103822,103718,,,6-4 7-6,3,F,Lukas Dlouhy,R,185,CZE,25.4565366188,Leander Paes,R,178,IND,35.266255989,Scott Lipsky,R,185,USA,27.1074606434,David Martin,L,185,USA,27.5811088296,12,2589,8,2860,62,970,64,945,,,,,,,,,,,,,,,,,,,,
2008-1720,Bangkok,Hard,28,A,20080922,299,104160,102233,1,,102148,104542,,,6-4 6-2,3,SF,Lukas Dlouhy,R,185,CZE,25.4565366188,Leander Paes,R,178,IND,35.266255989,Fabrice Santoro,R,178,FRA,35.7864476386,Jo Wilfried Tsonga,R,188,FRA,23.4332648871,12,2589,8,2860,87,740,80,825,,,,,,,,,,,,,,,,,,,,
2008-1720,Bangkok,Hard,28,A,20080922,298,103822,103718,,,103898,103917,,,6-3 3-6 10-7,3,SF,Scott Lipsky,R,185,USA,27.1074606434,David Martin,L,185,USA,27.5811088296,Julien Benneteau,R,185,FRA,26.7570157426,Nicolas Mahut,R,190,FRA,26.6694045175,62,970,64,945,45,1070,56,1015,,,,,,,,,,,,,,,,,,,,
2008-1720,Bangkok,Hard,28,A,20080922,297,104160,102233,1,,104607,104620,,,6-1 6-2,3,QF,Lukas Dlouhy,R,185,CZE,25.4565366188,Leander Paes,R,178,IND,35.266255989,Tomas Berdych,R,196,CZE,23.0143737166,Simone Bolelli,R,183,ITA,22.9568788501,12,2589,8,2860,202,300,138,425,,,,,,,,,,,,,,,,,,,,
2008-1720,Bangkok,Hard,28,A,20080922,296,102148,104542,,,102963,104332,3,,0-6 6-4 10-4,3,QF,Fabrice Santoro,R,178,FRA,35.7864476386,Jo Wilfried Tsonga,R,188,FRA,23.4332648871,Robert Lindstedt,R,190,SWE,31.5126625599,Philipp Petzschner,R,185,GER,24.4982888433,87,740,80,825,21,1860,44,1097,,,,,,,,,,,,,,,,,,,,
2008-1720,Bangkok,Hard,28,A,20080922,295,103898,103917,,,103498,104999,,,7-5 6-2,3,QF,Julien Benneteau,R,185,FRA,26.7570157426,Nicolas Mahut,R,190,FRA,26.6694045175,Marat Safin,R,193,RUS,28.6543463381,Mischa Zverev,L,190,GER,21.0869267625,45,1070,56,1015,183,325,89,723,,,,,,,,,,,,,,,,,,,,
2008-1720,Bangkok,Hard,28,A,20080922,294,103822,103718,,,104417,102836,,,6-3 7-5,3,QF,Scott Lipsky,R,185,USA,27.1074606434,David Martin,L,185,USA,27.5811088296,Robin Soderling,R,193,SWE,24.1067761807,Rogier Wassen,R,190,NED,32.1204654346,62,970,64,945,148,400,35,1340,,,,,,,,,,,,,,,,,,,,
2008-1720,Bangkok,Hard,28,A,20080922,293,104160,102233,1,,103523,103529,,,7-6 4-6 10-7,3,R16,Lukas Dlouhy,R,185,CZE,25.4565366188,Leander Paes,R,178,IND,35.266255989,Rohan Bopanna,R,190,IND,28.553045859,Aisam Ul Haq Qureshi,R,183,PAK,28.5174537988,12,2589,8,2860,51,1041,70,903,,,,,,,,,,,,,,,,,,,,
