tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2007-1536,Madrid Masters,Hard,48,M,20071015,300,103184,103185,1,,103586,103690,,,6-3 7-6,3,F,Bob Bryan,L,193,USA,29.4620123203,Mike Bryan,R,190,USA,29.4620123203,Mariusz Fyrstenberg,L,193,POL,27.2689938398,Marcin Matkowski,R,188,POL,26.7460643395,1,5725,1,5725,25,1725,24,1725,,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,299,103184,103185,1,,103084,103900,,,6-1 2-6 10-4,3,SF,Bob Bryan,L,193,USA,29.4620123203,Mike Bryan,R,190,USA,29.4620123203,Guillermo Canas,R,185,ARG,29.8863791923,David Nalbandian,R,180,ARG,25.7850787132,1,5725,1,5725,656,49,557,65,,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,298,103586,103690,,,102035,103018,4,,7-6 5-7 10-6,3,SF,Mariusz Fyrstenberg,L,193,POL,27.2689938398,Marcin Matkowski,R,188,POL,26.7460643395,Jonas Bjorkman,R,183,SWE,35.5619438741,Max Mirnyi,R,196,BLR,30.2751540041,25,1725,24,1725,6,3425,8,3350,,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,297,103184,103185,1,,102318,101779,6,,6-3 7-6,3,QF,Bob Bryan,L,193,USA,29.4620123203,Mike Bryan,R,190,USA,29.4620123203,Andrei Pavel,R,183,ROU,33.7138945927,Pavel Vizner,R,183,CZE,37.2511978097,1,5725,1,5725,23,1785,7,3420,,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,296,102035,103018,4,,103459,102751,,,6-1 6-2,3,QF,Jonas Bjorkman,R,183,SWE,35.5619438741,Max Mirnyi,R,196,BLR,30.2751540041,Jordan Kerr,R,180,AUS,27.9698836413,Todd Perry,R,175,AUS,31.5783709788,6,3425,8,3350,27,1556,44,1085,,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,295,103084,103900,,,102388,102382,5,,6-3 3-6 10-7,3,QF,Guillermo Canas,R,185,ARG,29.8863791923,David Nalbandian,R,180,ARG,25.7850787132,Simon Aspelin,R,185,SWE,33.4291581109,Julian Knowle,L,188,AUT,33.4620123203,656,49,557,65,14,3005,11,3210,,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,294,103586,103690,,,102979,102836,,,2-6 7-6 10-6,3,QF,Mariusz Fyrstenberg,L,193,POL,27.2689938398,Marcin Matkowski,R,188,POL,26.7460643395,Jeff Coetzee,R,173,RSA,30.4722792608,Rogier Wassen,R,190,NED,31.1813826146,25,1725,24,1725,29,1490,26,1660,,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,293,103184,103185,1,,103333,104269,,WC,6-4 6-3,3,R16,Bob Bryan,L,193,USA,29.4620123203,Mike Bryan,R,190,USA,29.4620123203,Ivo Karlovic,R,208,CRO,28.6269678303,Fernando Verdasco,L,188,ESP,23.9151266256,1,5725,1,5725,195,285,130,405,,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,292,102979,102836,,,102110,102800,2,,6-4 6-4,3,R16,Jeff Coetzee,R,173,RSA,30.4722792608,Rogier Wassen,R,190,NED,31.1813826146,Daniel Nestor,L,190,CAN,35.1101984942,Nenad Zimonjic,R,190,SRB,31.3620807666,29,1490,26,1660,4,4050,5,3590,,,,,,,,,,,,,,,,,,,,
2007-1536,Madrid Masters,Hard,48,M,20071015,291,103084,103900,,,103080,102061,3,,6-3 6-1,3,R16,Guillermo Canas,R,185,ARG,29.8863791923,David Nalbandian,R,180,ARG,25.7850787132,Paul Hanley,R,183,AUS,29.9219712526,Kevin Ullyett,R,178,ZIM,35.394934976,656,49,557,65,9,3260,9,3260,,,,,,,,,,,,,,,,,,,,
