tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2010-339,Brisbane,Hard,32,A,20100103,1,104053,1,,Andy Roddick,R,188,USA,27.3483915127,103429,,,Peter Luczak,R,183,AUS,30.3463381246,7-6(5) 6-2,3,R32,84,15,0,63,42,36,14,10,3,3,4,2,56,34,29,11,10,3,5,7,4410,77,598
2010-339,Brisbane,Hard,32,A,20100103,2,104958,,WC,Carsten Ball,L,198,AUS,22.5434633812,104999,,,Mischa Zverev,L,190,GER,22.3709787817,7-5 6-1,3,R32,70,10,3,57,30,23,19,10,0,0,2,2,66,34,22,14,9,7,10,134,400,78,590
2010-339,Brisbane,Hard,32,A,20100103,3,104755,,,Richard Gasquet,R,185,FRA,23.5482546201,103813,,,Jarkko Nieminen,L,185,FIN,28.4517453799,6-3 4-6 6-4,3,R32,121,5,4,97,51,33,27,15,5,8,4,0,85,58,38,14,14,7,11,52,850,88,568
2010-339,Brisbane,Hard,32,A,20100103,4,105051,,Q,Matthew Ebden,R,188,AUS,22.1081451061,103781,6,,Jurgen Melzer,L,183,AUT,28.6214921287,7-5 6-1,3,R32,64,12,1,50,35,30,12,10,3,3,2,1,53,29,16,15,9,2,5,285,151,28,1260
2010-339,Brisbane,Hard,32,A,20100103,5,104607,4,,Tomas Berdych,R,196,CZE,24.2984257358,105194,,Q,Nick Lindahl,R,183,AUS,21.4291581109,6-2 6-4,3,R32,69,3,1,46,27,24,14,9,1,1,6,1,69,41,26,14,9,6,9,20,1655,251,179
2010-339,Brisbane,Hard,32,A,20100103,6,104571,,,Marcos Baghdatis,R,183,CYP,24.5503080082,103888,,,Mardy Fish,R,188,USA,28.0711841205,7-5 7-5,3,R32,101,7,5,62,32,27,17,12,0,1,7,3,77,36,28,20,12,3,6,42,945,55,790
2010-339,Brisbane,Hard,32,A,20100103,7,103248,,,Harel Levy,R,185,ISR,31.4168377823,103566,,,Michael Llodra,L,190,FRA,29.6317590691,6-2 6-0,3,R32,41,8,0,35,23,18,10,7,0,0,0,0,46,36,17,3,7,5,10,119,461,67,649
2010-339,Brisbane,Hard,32,A,20100103,8,105064,8,,Thomaz Bellucci,L,188,BRA,22.0150581793,103428,,,Juan Ignacio Chela,R,190,ARG,30.3490759754,6-3 3-6 6-1,3,R32,105,12,4,87,58,37,14,13,6,10,1,1,71,38,20,17,12,2,8,36,1021,73,611
2010-339,Brisbane,Hard,32,A,20100103,9,103484,,,James Blake,R,185,USA,30.0205338809,105023,5,,Sam Querrey,R,198,USA,22.2450376454,4-6 6-3 6-4,3,R32,88,10,3,86,47,40,24,15,2,3,9,3,85,52,41,16,14,3,5,44,935,25,1320
2010-339,Brisbane,Hard,32,A,20100103,10,102967,,,Marc Gicquel,R,188,FRA,32.7665982204,104332,,,Philipp Petzschner,R,185,GER,25.7823408624,6-3 6-1,3,R32,50,4,1,38,27,25,8,8,0,0,4,2,46,21,15,10,8,1,5,58,744,80,587
2010-339,Brisbane,Hard,32,A,20100103,11,103722,,,Florent Serra,R,180,FRA,28.848733744,104714,,Q,Julian Reister,R,188,GER,23.7590691307,6-7(3) 7-6(5) 7-5,3,R32,160,9,1,107,67,46,28,18,2,5,7,1,143,105,69,19,18,5,9,65,665,173,284
2010-339,Brisbane,Hard,32,A,20100103,12,104792,3,,Gael Monfils,R,193,FRA,23.3429158111,103758,,,Taylor Dent,R,188,USA,28.6981519507,7-6(1) 6-7(5) 6-2,3,R32,133,9,4,104,60,48,28,16,5,5,6,4,105,67,52,17,16,8,10,13,2610,76,602
2010-339,Brisbane,Hard,32,A,20100103,13,104268,,,Alejandro Falla,L,185,COL,26.1409993155,104871,7,,Jeremy Chardy,R,188,FRA,22.893908282,6-4 6-4,3,R32,73,2,2,59,25,19,24,10,3,3,6,2,56,32,25,11,10,3,5,81,587,32,1102
2010-339,Brisbane,Hard,32,A,20100103,14,104639,,,Wayne Odesnik,L,180,USA,24.1204654346,103096,,,Arnaud Clement,R,173,FRA,32.0492813142,6-4 7-6(2),3,R32,113,10,1,86,58,36,17,11,7,9,7,2,67,42,32,11,11,4,7,105,521,63,667
2010-339,Brisbane,Hard,32,A,20100103,15,105238,,Q,Alexandr Dolgopolov,R,180,UKR,21.158110883,106071,,WC,Bernard Tomic,R,193,AUS,17.2046543463,6-4 6-4,3,R32,69,13,1,62,37,29,13,10,3,4,2,1,75,45,33,10,10,8,11,131,413,286,150
2010-339,Brisbane,Hard,32,A,20100103,16,103285,2,,Radek Stepanek,R,185,CZE,31.1047227926,105357,,WC,John Millman,R,183,AUS,20.5585215606,6-4 6-0,3,R32,70,3,2,46,34,29,3,8,2,3,1,4,52,27,14,10,8,1,6,12,2625,306,137
2010-339,Brisbane,Hard,32,A,20100103,17,104053,1,,Andy Roddick,R,188,USA,27.3483915127,104958,,WC,Carsten Ball,L,198,AUS,22.5434633812,7-6(0) 6-3,3,R16,81,9,0,59,49,41,8,11,1,1,8,3,68,36,26,18,10,7,8,7,4410,134,400
2010-339,Brisbane,Hard,32,A,20100103,18,104755,,,Richard Gasquet,R,185,FRA,23.5482546201,105051,,Q,Matthew Ebden,R,188,AUS,22.1081451061,6-3 6-4,3,R16,80,6,2,59,37,30,12,10,3,4,5,0,55,36,22,9,9,3,6,52,850,285,151
2010-339,Brisbane,Hard,32,A,20100103,19,104607,4,,Tomas Berdych,R,196,CZE,24.2984257358,104571,,,Marcos Baghdatis,R,183,CYP,24.5503080082,6-0 6-1,3,R16,66,0,0,46,23,16,16,7,3,3,1,3,36,13,7,6,6,2,7,20,1655,42,945
2010-339,Brisbane,Hard,32,A,20100103,20,105064,8,,Thomaz Bellucci,L,188,BRA,22.0150581793,103248,,,Harel Levy,R,185,ISR,31.4168377823,6-4 4-6 6-4,3,R16,120,7,1,86,53,42,20,15,3,4,6,1,79,42,39,18,15,3,5,36,1021,119,461
2010-339,Brisbane,Hard,32,A,20100103,21,103484,,,James Blake,R,185,USA,30.0205338809,102967,,,Marc Gicquel,R,188,FRA,32.7665982204,6-3 3-6 7-6(8),3,R16,120,13,2,95,51,42,23,15,2,4,8,5,120,65,45,30,15,8,10,44,935,58,744
2010-339,Brisbane,Hard,32,A,20100103,22,104792,3,,Gael Monfils,R,193,FRA,23.3429158111,103722,,,Florent Serra,R,180,FRA,28.848733744,6-7(5) 7-6(5) 6-1,3,R16,139,16,6,101,53,41,23,15,4,7,9,3,114,72,49,17,16,7,13,13,2610,65,665
