tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2003-1536,Madrid Masters,Hard,48,M,20031013,300,102405,103018,2,,102286,102061,,,6-2 2-6 6-3,3,F,Mahesh Bhupathi,R,185,IND,29.3497604381,Max Mirnyi,R,196,BLR,26.2696783025,Wayne Black,R,170,ZIM,29.9110198494,Kevin Ullyett,R,178,ZIM,31.3894592745,4,4240,3,4625,30,1525,18,1950,,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,299,102405,103018,2,,102610,103280,,,7-6 4-6 6-2,3,SF,Mahesh Bhupathi,R,185,IND,29.3497604381,Max Mirnyi,R,196,BLR,26.2696783025,Albert Costa,R,180,ESP,28.3011635866,Martin Verkerk,R,196,NED,24.9500342231,4,4240,3,4625,170,295,101,540,,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,298,102286,102061,,,101932,101866,,,6-4 6-4,3,SF,Wayne Black,R,170,ZIM,29.9110198494,Kevin Ullyett,R,178,ZIM,31.3894592745,Jared Palmer,R,190,USA,32.2819986311,David Rikl,L,178,CZE,32.6242299795,30,1525,18,1950,20,1850,14,2735,,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,297,102405,103018,2,,102562,101779,,,6-7 7-6 6-3,3,QF,Mahesh Bhupathi,R,185,IND,29.3497604381,Max Mirnyi,R,196,BLR,26.2696783025,Jiri Novak,R,190,CZE,28.5612594114,Pavel Vizner,R,183,CZE,33.2457221081,4,4240,3,4625,76,700,24,1765,,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,296,102610,103280,,,102035,101889,3,,6-4 7-6,3,QF,Albert Costa,R,180,ESP,28.3011635866,Martin Verkerk,R,196,NED,24.9500342231,Jonas Bjorkman,R,183,SWE,31.5564681725,Todd Woodbridge,R,178,AUS,32.5311430527,170,295,101,540,8,4020,5,4195,,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,295,102286,102061,,,101956,102110,4,,6-1 6-7 6-3,3,QF,Wayne Black,R,170,ZIM,29.9110198494,Kevin Ullyett,R,178,ZIM,31.3894592745,Mark Knowles,R,190,BAH,32.1067761807,Daniel Nestor,L,190,CAN,31.1047227926,30,1525,18,1950,7,4150,6,4150,,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,294,101932,101866,,,102093,101327,,,6-3 4-6 7-6,3,QF,Jared Palmer,R,190,USA,32.2819986311,David Rikl,L,178,CZE,32.6242299795,Martin Damm,R,188,CZE,31.1978097194,Cyril Suk,R,180,CZE,36.7036276523,20,1850,14,2735,15,2605,16,2605,,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,293,101932,101866,,,103184,103185,1,,6-7 6-4 6-4,3,R16,Jared Palmer,R,190,USA,32.2819986311,David Rikl,L,178,CZE,32.6242299795,Bob Bryan,L,193,USA,25.4565366188,Mike Bryan,R,190,USA,25.4565366188,20,1850,14,2735,1,4750,1,4750,,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,292,102405,103018,2,,102374,103852,,WC,6-7 6-4 7-6,3,R16,Mahesh Bhupathi,R,185,IND,29.3497604381,Max Mirnyi,R,196,BLR,26.2696783025,Alex Corretja,R,180,ESP,29.5058179329,Feliciano Lopez,L,188,ESP,22.0616016427,4,4240,3,4625,174,285,112,500,,,,,,,,,,,,,,,,,,,,
2003-1536,Madrid Masters,Hard,48,M,20031013,291,102035,101889,3,,102860,103990,,,6-3 6-1,3,R16,Jonas Bjorkman,R,183,SWE,31.5564681725,Todd Woodbridge,R,178,AUS,32.5311430527,Agustin Calleri,R,183,ARG,27.0773442847,Tommy Robredo,R,180,ESP,21.4510609172,8,4020,5,4195,128,425,65,800,,,,,,,,,,,,,,,,,,,,
