tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-301,Auckland,Hard,32,A,20000110,300,101704,101097,1,,101358,101543,2,,7-5 6-4,3,F,Ellis Ferreira,L,188,RSA,29.8891170431,Rick Leach,L,188,USA,35.0335386721,Olivier Delaitre,R,170,FRA,32.6105407255,Jeff Tarango,L,180,USA,31.1375770021,13,0,15,0,16,0,17,0,,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,299,101704,101097,1,,102562,101866,3,,6-2 6-4,3,SF,Ellis Ferreira,L,188,RSA,29.8891170431,Rick Leach,L,188,USA,35.0335386721,Jiri Novak,R,190,CZE,24.8049281314,David Rikl,L,178,CZE,28.8678986995,13,0,15,0,34,0,29,0,,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,298,101358,101543,2,,102664,101779,,,6-3 6-4,3,SF,Olivier Delaitre,R,170,FRA,32.6105407255,Jeff Tarango,L,180,USA,31.1375770021,Petr Pala,R,193,CZE,24.2737850787,Pavel Vizner,R,183,CZE,29.4893908282,16,0,17,0,97,0,74,0,,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,297,101704,101097,1,,101342,102162,,WC,6-3 6-4,3,QF,Ellis Ferreira,L,188,RSA,29.8891170431,Rick Leach,L,188,USA,35.0335386721,Patrick Galbraith,L,183,USA,32.7364818617,Chris Woodruff,R,188,USA,27.0198494182,13,0,15,0,65,0,248,0,,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,296,101358,101543,2,,103483,102262,,WC,6-2 6-4,3,QF,Olivier Delaitre,R,170,FRA,32.6105407255,Jeff Tarango,L,180,USA,31.1375770021,James Shortall,R,,NZL,20.0438056126,Cristiano Testa,L,,BRA,26.2970568104,16,0,17,0,779,0,114,0,,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,295,102562,101866,3,,102057,102042,,,7-6 RET,3,QF,Jiri Novak,R,190,CZE,24.8049281314,David Rikl,L,178,CZE,28.8678986995,Devin Bowen,R,183,USA,27.6468172485,Brandon Coupe,R,183,USA,27.7481177276,34,0,29,0,82,0,113,0,,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,294,102664,101779,,,101565,101904,,,3-6 6-4 7-6,3,QF,Petr Pala,R,193,CZE,24.2737850787,Pavel Vizner,R,183,CZE,29.4893908282,Marius Barnard,R,188,RSA,30.970568104,Chris Haggard,L,178,RSA,28.7036276523,97,0,74,0,75,0,63,0,,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,293,101704,101097,1,,101639,102430,,,6-4 6-3,3,R16,Ellis Ferreira,L,188,RSA,29.8891170431,Rick Leach,L,188,USA,35.0335386721,Lan Bale,R,175,RSA,30.340862423,Adam Peterson,R,185,USA,25.4866529774,13,0,15,0,64,0,103,0,,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,292,101358,101543,2,,102131,102854,,WC,6-3 7-6,3,R16,Olivier Delaitre,R,170,FRA,32.6105407255,Jeff Tarango,L,180,USA,31.1375770021,Alistair Hunt,R,190,NZL,27.1622176591,Sjeng Schalken,R,193,NED,23.3374401095,16,0,17,0,616,0,140,0,,,,,,,,,,,,,,,,,,,,
2000-301,Auckland,Hard,32,A,20000110,291,102562,101866,3,,102984,103264,,,6-2 4-6 6-3,3,R16,Jiri Novak,R,190,CZE,24.8049281314,David Rikl,L,178,CZE,28.8678986995,Martin Garcia,R,190,ARG,22.6913073238,Mariano Puerta,L,180,ARG,21.3086926762,34,0,29,0,52,0,111,0,,,,,,,,,,,,,,,,,,,,
