tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-1536,Madrid Masters,Clay,56,M,20120506,300,103586,103690,4,,102963,104486,6,,6-3 6-4,3,F,Mariusz Fyrstenberg,L,193,POL,31.8302532512,Marcin Matkowski,R,188,POL,31.3073237509,Robert Lindstedt,R,190,SWE,35.1348391513,Horia Tecau,R,193,ROU,27.2963723477,10,4815,10,4815,8,4840,9,4840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-1536,Madrid Masters,Clay,56,M,20120506,299,103586,103690,4,,103018,102110,2,,6-7 7-6 12-10,3,SF,Mariusz Fyrstenberg,L,193,POL,31.8302532512,Marcin Matkowski,R,188,POL,31.3073237509,Max Mirnyi,R,196,BLR,34.8364134155,Daniel Nestor,L,190,CAN,39.6714579055,10,4815,10,4815,1,9060,1,9060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-1536,Madrid Masters,Clay,56,M,20120506,298,102963,104486,6,,102405,103523,7,,6-4 1-6 10-7,3,SF,Robert Lindstedt,R,190,SWE,35.1348391513,Horia Tecau,R,193,ROU,27.2963723477,Mahesh Bhupathi,R,185,IND,37.916495551,Rohan Bopanna,R,190,IND,32.1752224504,8,4840,9,4840,15,3850,12,4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-1536,Madrid Masters,Clay,56,M,20120506,297,103018,102110,2,,102233,103285,5,,6-3 6-7 10-2,3,QF,Max Mirnyi,R,196,BLR,34.8364134155,Daniel Nestor,L,190,CAN,39.6714579055,Leander Paes,R,178,IND,38.8884325804,Radek Stepanek,R,185,CZE,33.4428473648,1,9060,1,9060,7,6195,13,4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-1536,Madrid Masters,Clay,56,M,20120506,296,103586,103690,4,,105227,104249,,,7-5 6-2,3,QF,Mariusz Fyrstenberg,L,193,POL,31.8302532512,Marcin Matkowski,R,188,POL,31.3073237509,Marin Cilic,R,198,CRO,23.6057494867,Marcelo Melo,R,203,BRA,28.6214921287,10,4815,10,4815,130,590,33,2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-1536,Madrid Masters,Clay,56,M,20120506,295,102963,104486,6,,104719,104043,,,7-5 7-6,3,QF,Robert Lindstedt,R,190,SWE,35.1348391513,Horia Tecau,R,193,ROU,27.2963723477,Marcel Granollers,R,190,ESP,26.0698151951,Marc Lopez,R,175,ESP,29.7686516085,8,4840,9,4840,31,2340,19,3155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-1536,Madrid Masters,Clay,56,M,20120506,294,102405,103523,7,,103529,103828,,,7-6 7-6,3,QF,Mahesh Bhupathi,R,185,IND,37.916495551,Rohan Bopanna,R,190,IND,32.1752224504,Aisam Ul Haq Qureshi,R,183,PAK,32.1396303901,Jean Julien Rojer,R,183,AHO,30.6995208761,15,3850,12,4340,14,4025,35,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-1536,Madrid Masters,Clay,56,M,20120506,293,103529,103828,,,103184,103185,1,,4-6 6-4 18-16,3,R16,Aisam Ul Haq Qureshi,R,183,PAK,32.1396303901,Jean Julien Rojer,R,183,AHO,30.6995208761,Bob Bryan,L,193,USA,34.0232717317,Mike Bryan,R,190,USA,34.0232717317,14,4025,35,2040,3,8610,3,8610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-1536,Madrid Masters,Clay,56,M,20120506,292,103018,102110,2,,103543,104269,,,6-3 7-6,3,R16,Max Mirnyi,R,196,BLR,34.8364134155,Daniel Nestor,L,190,CAN,39.6714579055,David Marrero,R,185,ESP,32.0793976728,Fernando Verdasco,L,188,ESP,28.476386037,1,9060,1,9060,24,2540,63,1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-1536,Madrid Masters,Clay,56,M,20120506,291,104719,104043,,,103566,102800,3,,6-4 6-4,3,R16,Marcel Granollers,R,190,ESP,26.0698151951,Marc Lopez,R,175,ESP,29.7686516085,Michael Llodra,L,190,FRA,31.9698836413,Nenad Zimonjic,R,190,SRB,35.923340178,31,2340,19,3155,5,7320,6,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
