tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2002-1536,Madrid Masters,Hard,48,M,20021014,300,101956,102110,1,,102405,103018,2,,6-3 7-5 6-0,3,F,Mark Knowles,R,190,BAH,31.1101984942,Daniel Nestor,L,190,CAN,30.1081451061,Mahesh Bhupathi,R,185,IND,28.3531827515,Max Mirnyi,R,196,BLR,25.273100616,2,5255,1,5305,4,4205,3,4325,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,299,101956,102110,1,,103184,103185,4,,7-6 6-4,3,SF,Mark Knowles,R,190,BAH,31.1101984942,Daniel Nestor,L,190,CAN,30.1081451061,Bob Bryan,L,193,USA,24.4599589322,Mike Bryan,R,190,USA,24.4599589322,2,5255,1,5305,8,3320,7,3475,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,298,102405,103018,2,,102035,101889,3,,6-4 2-6 7-6,3,SF,Mahesh Bhupathi,R,185,IND,28.3531827515,Max Mirnyi,R,196,BLR,25.273100616,Jonas Bjorkman,R,183,SWE,30.559890486,Todd Woodbridge,R,178,AUS,31.5345653662,4,4205,3,4325,6,3705,5,3770,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,297,101956,102110,1,,101097,102053,,,7-5 6-3,3,QF,Mark Knowles,R,190,BAH,31.1101984942,Daniel Nestor,L,190,CAN,30.1081451061,Rick Leach,L,188,USA,37.7932922656,Brian Macphie,L,180,USA,30.4257357974,2,5255,1,5305,25,1775,37,1415,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,296,102405,103018,2,,102093,101327,6,,2-6 7-5 6-3,3,QF,Mahesh Bhupathi,R,185,IND,28.3531827515,Max Mirnyi,R,196,BLR,25.273100616,Martin Damm,R,188,CZE,30.2012320329,Cyril Suk,R,180,CZE,35.7070499658,4,4205,3,4325,11,2770,16,2440,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,295,102035,101889,3,,102765,102148,,WC,W/O,3,QF,Jonas Bjorkman,R,183,SWE,30.559890486,Todd Woodbridge,R,178,AUS,31.5345653662,Nicolas Escude,R,185,FRA,26.5297741273,Fabrice Santoro,R,178,FRA,29.8453114305,6,3705,5,3770,83,740,33,1525,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,294,103184,103185,4,,101682,101932,,,7-5 6-7 7-6,3,QF,Bob Bryan,L,193,USA,24.4599589322,Mike Bryan,R,190,USA,24.4599589322,David Adams,R,188,RSA,32.772073922,Jared Palmer,R,190,USA,31.2854209446,8,3320,7,3475,36,1425,10,3220,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,293,101956,102110,1,,103017,102318,,WC,5-7 6-4 6-4,3,R16,Mark Knowles,R,190,BAH,31.1101984942,Daniel Nestor,L,190,CAN,30.1081451061,Nicolas Kiefer,R,183,GER,25.2758384668,Andrei Pavel,R,183,ROU,28.7118412047,2,5255,1,5305,80,760,104,590,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,292,102405,103018,2,,102338,101779,,,7-6 7-5,3,R16,Mahesh Bhupathi,R,185,IND,28.3531827515,Max Mirnyi,R,196,BLR,25.273100616,Yevgeny Kafelnikov,R,190,RUS,28.6516084873,Pavel Vizner,R,183,CZE,32.2491444216,4,4205,3,4325,14,2600,44,1232,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,291,102035,101889,3,,102422,102233,,,6-2 6-0,3,R16,Jonas Bjorkman,R,183,SWE,30.559890486,Todd Woodbridge,R,178,AUS,31.5345653662,Michael Hill,R,188,AUS,28.2902121834,Leander Paes,R,178,IND,29.325119781,6,3705,5,3770,35,1430,22,1990,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,290,103184,103185,4,,103602,104053,,S,7-6 7-6,3,R16,Bob Bryan,L,193,USA,24.4599589322,Mike Bryan,R,190,USA,24.4599589322,Fernando Gonzalez,R,183,CHI,22.2094455852,Andy Roddick,R,188,USA,20.1232032854,8,3320,7,3475,335,111,147,340,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,289,101682,101932,,,102286,102061,5,,7-6 7-5,3,R16,David Adams,R,188,RSA,32.772073922,Jared Palmer,R,190,USA,31.2854209446,Wayne Black,R,170,ZIM,28.9144421629,Kevin Ullyett,R,178,ZIM,30.392881588,36,1425,10,3220,13,2660,12,2695,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,288,102093,101327,6,,101704,101866,,,6-4 6-3,3,R16,Martin Damm,R,188,CZE,30.2012320329,Cyril Suk,R,180,CZE,35.7070499658,Ellis Ferreira,L,188,RSA,32.6488706366,David Rikl,L,178,CZE,31.627652293,11,2770,16,2440,23,1890,20,2290,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,287,101097,102053,,,102215,101776,7,,7-5 7-6,3,R16,Rick Leach,L,188,USA,37.7932922656,Brian Macphie,L,180,USA,30.4257357974,Joshua Eagle,R,183,AUS,29.4291581109,Sandon Stolle,R,193,AUS,32.2546201232,25,1775,37,1415,18,2350,15,2595,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,286,102765,102148,,WC,102562,103285,8,,6-3 6-2,3,R16,Nicolas Escude,R,185,FRA,26.5297741273,Fabrice Santoro,R,178,FRA,29.8453114305,Jiri Novak,R,190,CZE,27.5646817248,Radek Stepanek,R,185,CZE,23.8795345654,83,740,33,1525,19,2335,17,2350,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,285,101682,101932,,,102463,102477,,,6-3 3-6 6-2,3,R32,David Adams,R,188,RSA,32.772073922,Jared Palmer,R,190,USA,31.2854209446,Lucas Arnold Ker,R,180,ARG,28.0054757016,Gaston Etlis,R,185,ARG,27.9425051335,36,1425,10,3220,30,1600,29,1630,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,284,102765,102148,,WC,101962,103206,,S,3-6 6-4 6-3,3,R32,Nicolas Escude,R,185,FRA,26.5297741273,Fabrice Santoro,R,178,FRA,29.8453114305,Younes El Aynaoui,R,193,MAR,31.0882956879,Sebastien Grosjean,R,175,FRA,24.3778234086,83,740,33,1525,133,390,93,640,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,283,101704,101866,,,103498,102800,,WC,4-6 6-3 6-3,3,R32,Ellis Ferreira,L,188,RSA,32.6488706366,David Rikl,L,178,CZE,31.627652293,Marat Safin,R,193,RUS,22.71321013,Nenad Zimonjic,R,190,SRB,26.3600273785,23,1890,20,2290,109,540,32,1530,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,282,103602,104053,,S,102856,102987,,AL,6-3 6-4,3,R32,Fernando Gonzalez,R,183,CHI,22.2094455852,Andy Roddick,R,188,USA,20.1232032854,Gustavo Kuerten,R,190,BRA,26.0917180014,Andre Sa,R,185,BRA,25.440109514,335,111,147,340,146,345,60,924,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,281,102422,102233,,,103598,102854,,S,W/O,3,R32,Michael Hill,R,188,AUS,28.2902121834,Leander Paes,R,178,IND,29.325119781,Xavier Malisse,R,185,BEL,22.2368240931,Sjeng Schalken,R,193,NED,26.0971937029,35,1430,22,1990,400,90,41,1270,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,280,102338,101779,,,102369,103566,,,7-6 7-5,3,R32,Yevgeny Kafelnikov,R,190,RUS,28.6516084873,Pavel Vizner,R,183,CZE,32.2491444216,Julien Boutter,R,190,FRA,28.5256673511,Michael Llodra,L,190,FRA,22.4065708419,14,2600,44,1232,28,1660,34,1455,,,,,,,,,,,,,,,,,,,,
2002-1536,Madrid Masters,Hard,48,M,20021014,279,103017,102318,,WC,102998,102664,,,7-6 6-1,3,R32,Nicolas Kiefer,R,183,GER,25.2758384668,Andrei Pavel,R,183,ROU,28.7118412047,Jan Michael Gambill,R,190,USA,25.363449692,Petr Pala,R,193,CZE,27.0335386721,80,760,104,590,26,1750,39,1332,,,,,,,,,,,,,,,,,,,,
