tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2005-1536,Madrid Masters,Hard,48,M,20051017,300,101956,102110,3,,102233,102800,,,3-6 6-3 6-2,3,F,Mark Knowles,R,190,BAH,34.1190965092,Daniel Nestor,L,190,CAN,33.1170431211,Leander Paes,R,178,IND,32.334017796,Nenad Zimonjic,R,190,SRB,29.3689253936,7,3340,8,3200,13,2320,11,2457,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,299,101956,102110,3,,102286,102061,2,,6-4 7-6,3,SF,Mark Knowles,R,190,BAH,34.1190965092,Daniel Nestor,L,190,CAN,33.1170431211,Wayne Black,R,170,ZIM,31.923340178,Kevin Ullyett,R,178,ZIM,33.401779603,7,3340,8,3200,5,3985,6,3935,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,298,102233,102800,,,103566,102148,4,,7-6 7-5,3,SF,Leander Paes,R,178,IND,32.334017796,Nenad Zimonjic,R,190,SRB,29.3689253936,Michael Llodra,L,190,FRA,25.4154688569,Fabrice Santoro,R,178,FRA,32.8542094456,13,2320,11,2457,9,2725,12,2394,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,297,102286,102061,2,,101885,103080,,,6-4 6-4,3,QF,Wayne Black,R,170,ZIM,31.923340178,Kevin Ullyett,R,178,ZIM,33.401779603,Wayne Arthurs,L,190,AUS,34.5845311431,Paul Hanley,R,183,AUS,27.9288158795,5,3985,6,3935,14,2305,10,2560,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,296,101956,102110,3,,103970,104269,,WC,6-3 6-1,3,QF,Mark Knowles,R,190,BAH,34.1190965092,Daniel Nestor,L,190,CAN,33.1170431211,David Ferrer,R,175,ESP,23.5427789185,Fernando Verdasco,L,188,ESP,21.9219712526,7,3340,8,3200,56,1010,79,755,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,295,103566,102148,4,,103484,104053,,WC,W/O,3,QF,Michael Llodra,L,190,FRA,25.4154688569,Fabrice Santoro,R,178,FRA,32.8542094456,James Blake,R,185,USA,25.8042436687,Andy Roddick,R,188,USA,23.1321013005,9,2725,12,2394,130,425,672,45,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,294,102233,102800,,,102405,102093,,,7-6 7-5,3,QF,Leander Paes,R,178,IND,32.334017796,Nenad Zimonjic,R,190,SRB,29.3689253936,Mahesh Bhupathi,R,185,IND,31.3620807666,Martin Damm,R,188,CZE,33.2101300479,13,2320,11,2457,15,2240,17,2095,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,293,102405,102093,,,103184,103185,1,,6-3 6-7 6-2,3,R16,Mahesh Bhupathi,R,185,IND,31.3620807666,Martin Damm,R,188,CZE,33.2101300479,Bob Bryan,L,193,USA,27.4688569473,Mike Bryan,R,190,USA,27.4688569473,15,2240,17,2095,3,5625,3,5625,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,292,102286,102061,2,,103786,103602,,,6-1 4-6 6-3,3,R16,Wayne Black,R,170,ZIM,31.923340178,Kevin Ullyett,R,178,ZIM,33.401779603,Nikolay Davydenko,R,178,RUS,24.3750855578,Fernando Gonzalez,R,183,CHI,25.2183436003,5,3985,6,3935,46,1095,30,1465,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,291,101956,102110,3,,102388,102751,,,6-3 6-4,3,R16,Mark Knowles,R,190,BAH,34.1190965092,Daniel Nestor,L,190,CAN,33.1170431211,Simon Aspelin,R,185,SWE,31.4360027379,Todd Perry,R,175,AUS,29.5852156057,7,3340,8,3200,18,2075,19,2075,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,290,103566,102148,4,,102886,102904,,,6-3 2-6 6-3,3,R16,Michael Llodra,L,190,FRA,25.4154688569,Fabrice Santoro,R,178,FRA,32.8542094456,Frantisek Cermak,R,193,CZE,28.9226557153,Leos Friedl,R,183,CZE,28.7912388775,9,2725,12,2394,24,1720,21,1970,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,289,101885,103080,,,102968,103544,,,6-3 6-7 6-4,3,R16,Wayne Arthurs,L,190,AUS,34.5845311431,Paul Hanley,R,183,AUS,27.9288158795,Jonathan Erlich,R,180,ISR,28.5338809035,Andy Ram,R,180,ISR,25.5195071869,14,2305,10,2560,16,2096,20,2045,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,288,103484,104053,,WC,102563,103018,,,7-6 3-6 6-4,3,R16,James Blake,R,185,USA,25.8042436687,Andy Roddick,R,188,USA,23.1321013005,Thomas Johansson,R,180,SWE,30.5681040383,Max Mirnyi,R,196,BLR,28.2819986311,130,425,672,45,114,465,2,5630,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,287,103970,104269,,WC,103292,103264,,,6-3 6-2,3,R16,David Ferrer,R,175,ESP,23.5427789185,Fernando Verdasco,L,188,ESP,21.9219712526,Gaston Gaudio,R,175,ARG,26.855578371,Mariano Puerta,L,180,ARG,27.0773442847,56,1010,79,755,483,80,133,415,,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,286,102233,102800,,,103758,104068,,AL,6-1 1-6 7-6,3,R16,Leander Paes,R,178,IND,32.334017796,Nenad Zimonjic,R,190,SRB,29.3689253936,Taylor Dent,R,188,USA,24.4818617385,Robby Ginepri,R,183,USA,23.0280629706,13,2320,11,2457,318,145,185,285,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,300,103080,102233,1,,102968,103544,2,,5-6 6-1 6-2,3,F,Paul Hanley,R,183,AUS,27.871321013,Leander Paes,R,178,IND,32.2765229295,Jonathan Erlich,R,180,ISR,28.476386037,Andy Ram,R,180,ISR,25.4620123203,10,2345,16,2090,17,2086,18,2035,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,299,103080,102233,1,,102405,102925,,,6-4 6-5,3,SF,Paul Hanley,R,183,AUS,27.871321013,Leander Paes,R,178,IND,32.2765229295,Mahesh Bhupathi,R,185,IND,31.3045859001,Justin Gimelstob,R,196,USA,28.6652977413,10,2345,16,2090,12,2305,72,825,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,298,102968,103544,2,,102388,102751,3,,6-5 6-2,3,SF,Jonathan Erlich,R,180,ISR,28.476386037,Andy Ram,R,180,ISR,25.4620123203,Simon Aspelin,R,185,SWE,31.3785078713,Todd Perry,R,175,AUS,29.5277207392,17,2086,18,2035,20,1955,21,1950,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,297,103080,102233,1,,103387,103821,,,6-4 6-4,3,QF,Paul Hanley,R,183,AUS,27.871321013,Leander Paes,R,178,IND,32.2765229295,Paradorn Srichaphan,R,185,THA,26.2861054073,Danai Udomchoke,R,173,THA,24.1259411362,10,2345,16,2090,191,260,211,235,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,296,102968,103544,2,,102567,104160,,AL,6-4 6-1,3,QF,Jonathan Erlich,R,180,ISR,28.476386037,Andy Ram,R,180,ISR,25.4620123203,George Bastl,R,183,SUI,30.4887063655,Lukas Dlouhy,R,185,CZE,22.4668035592,17,2086,18,2035,586,56,92,639,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,295,102388,102751,3,,102501,104417,,,6-5 6-5,3,QF,Simon Aspelin,R,185,SWE,31.3785078713,Todd Perry,R,175,AUS,29.5277207392,Johan Landsberg,R,183,SWE,30.7405886379,Robin Soderling,R,193,SWE,21.1170431211,20,1955,21,1950,103,516,204,245,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,294,102405,102925,,,102979,101904,,,6-1 6-4,3,QF,Mahesh Bhupathi,R,185,IND,31.3045859001,Justin Gimelstob,R,196,USA,28.6652977413,Jeff Coetzee,R,173,RSA,28.4216290212,Chris Haggard,L,178,RSA,34.4147843943,12,2305,72,825,74,811,83,706,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,293,103080,102233,1,,103254,103219,,,6-4 6-2,3,R16,Paul Hanley,R,183,AUS,27.871321013,Leander Paes,R,178,IND,32.2765229295,Yves Allegro,R,183,SUI,27.0910335387,Graydon Oliver,R,193,USA,27.2826830938,10,2345,16,2090,36,1350,38,1335,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,292,102968,103544,2,,104198,103632,,,3-6 6-5 6-4,3,R16,Jonathan Erlich,R,180,ISR,28.476386037,Andy Ram,R,180,ISR,25.4620123203,Guillermo Garcia Lopez,R,188,ESP,22.3134839151,Luis Horna,R,180,PER,25.0321697467,17,2086,18,2035,691,43,88,671,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,291,102388,102751,3,,103813,102836,,,6-3 6-2,3,R16,Simon Aspelin,R,185,SWE,31.3785078713,Todd Perry,R,175,AUS,29.5277207392,Jarkko Nieminen,L,185,FIN,24.1779603012,Rogier Wassen,R,190,NED,29.1307323751,20,1955,21,1950,111,491,66,901,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,290,102979,101904,,,102477,101675,4,,1-6 6-3 6-4,3,R16,Jeff Coetzee,R,173,RSA,28.4216290212,Chris Haggard,L,178,RSA,34.4147843943,Gaston Etlis,R,185,ARG,30.893908282,Martin Rodriguez,R,178,ARG,35.7727583847,74,811,83,706,28,1540,26,1640,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,289,102567,104160,,AL,104371,103503,,,6-2 6-3,3,R16,George Bastl,R,183,SUI,30.4887063655,Lukas Dlouhy,R,185,CZE,22.4668035592,Ivo Minar,R,183,CZE,21.3497604381,Robin Vik,R,183,CZE,25.6399726215,586,56,92,639,350,129,648,47,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,288,102405,102925,,,104068,104180,,,6-5 6-5,3,R16,Mahesh Bhupathi,R,185,IND,31.3045859001,Justin Gimelstob,R,196,USA,28.6652977413,Robby Ginepri,R,183,USA,22.970568104,Gilles Muller,L,193,LUX,22.3846680356,12,2305,72,825,179,285,200,250,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,287,102501,104417,,,103240,104499,,,6-3 6-2,3,R16,Johan Landsberg,R,183,SWE,30.7405886379,Robin Soderling,R,193,SWE,21.1170431211,Kevin Kim,R,180,USA,27.1704312115,Jimmy Wang,R,178,TPE,20.629705681,103,516,204,245,124,434,390,113,,,,,,,,,,,,,,,,,,,,
2005-1720,Bangkok,Hard,32,A,20050926,286,103387,103821,,,103920,103921,,WC,4-6 6-3 6-4,3,R16,Paradorn Srichaphan,R,185,THA,26.2861054073,Danai Udomchoke,R,173,THA,24.1259411362,Sanchai Ratiwatana,R,175,THA,23.6741957563,Sonchat Ratiwatana,R,175,THA,23.6741957563,191,260,211,235,128,427,128,427,,,,,,,,,,,,,,,,,,,,
2005-301,Auckland,Hard,32,A,20050110,300,103254,102306,,,102388,102751,,,6-4 7-6,3,F,Yves Allegro,R,183,SUI,26.3819301848,Michael Kohlmann,R,188,GER,30.9979466119,Simon Aspelin,R,185,SWE,30.6694045175,Todd Perry,R,175,AUS,28.8186173854,45,1285,44,1290,39,1352,36,1405,,,,,,,,,,,,,,,,,,,,
2005-301,Auckland,Hard,32,A,20050110,299,103254,102306,,,102984,102251,4,,6-7 6-1 6-3,3,SF,Yves Allegro,R,183,SUI,26.3819301848,Michael Kohlmann,R,188,GER,30.9979466119,Martin Garcia,R,190,ARG,27.6933607118,Mariano Hood,L,178,ARG,31.40862423,45,1285,44,1290,52,1145,26,1670,,,,,,,,,,,,,,,,,,,,
2005-301,Auckland,Hard,32,A,20050110,298,102388,102751,,,103602,102458,,,6-4 6-4,3,SF,Simon Aspelin,R,185,SWE,30.6694045175,Todd Perry,R,175,AUS,28.8186173854,Fernando Gonzalez,R,183,CHI,24.4517453799,Jim Thomas,R,193,USA,30.2970568104,39,1352,36,1405,71,940,67,1000,,,,,,,,,,,,,,,,,,,,
2005-301,Auckland,Hard,32,A,20050110,297,103602,102458,,,102477,101675,1,,7-5 7-6,3,QF,Fernando Gonzalez,R,183,CHI,24.4517453799,Jim Thomas,R,193,USA,30.2970568104,Gaston Etlis,R,185,ARG,30.1848049281,Martin Rodriguez,R,178,ARG,35.0636550308,71,940,67,1000,17,2130,15,2260,,,,,,,,,,,,,,,,,,,,
2005-301,Auckland,Hard,32,A,20050110,296,103254,102306,,,101327,101779,2,,7-6 3-6 7-6,3,QF,Yves Allegro,R,183,SUI,26.3819301848,Michael Kohlmann,R,188,GER,30.9979466119,Cyril Suk,R,180,CZE,37.9493497604,Pavel Vizner,R,183,CZE,34.4914442163,45,1285,44,1290,18,2075,20,1935,,,,,,,,,,,,,,,,,,,,
