tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2001-301,Auckland,Hard,32,A,20010108,300,101565,102458,,,101682,102984,1,,7-6 6-4,3,F,Marius Barnard,R,188,RSA,31.9671457906,Jim Thomas,R,193,USA,26.2915811088,David Adams,R,188,RSA,31.0088980151,Martin Garcia,R,190,ARG,23.6878850103,54,1125,105,580,19,2220,31,1621,,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,299,101682,102984,1,,102149,102636,,Q,6-2 6-3,3,SF,David Adams,R,188,RSA,31.0088980151,Martin Garcia,R,190,ARG,23.6878850103,Paul Rosner,R,193,RSA,28.076659822,Jason Weir Smith,L,188,RSA,25.4209445585,19,2220,31,1621,108,559,107,562,,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,298,101565,102458,,,102529,102411,,,6-3 1-6 6-1,3,SF,Marius Barnard,R,188,RSA,31.9671457906,Jim Thomas,R,193,USA,26.2915811088,Thomas Shimada,R,178,JPN,25.9110198494,Myles Wakefield,R,196,RSA,26.5735797399,54,1125,105,580,66,936,65,945,,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,297,101682,102984,1,,103103,102344,,WC,7-5 6-4,3,QF,David Adams,R,188,RSA,31.0088980151,Martin Garcia,R,190,ARG,23.6878850103,Dominik Hrbaty,R,183,SVK,23.0116358658,Karol Kucera,R,188,SVK,26.8501026694,19,2220,31,1621,16,2285,533,60,,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,296,102529,102411,,,102388,101937,2,,6-4 6-3,3,QF,Thomas Shimada,R,178,JPN,25.9110198494,Myles Wakefield,R,196,RSA,26.5735797399,Simon Aspelin,R,185,SWE,26.6639288159,Robbie Koenig,R,173,RSA,29.5140314853,66,936,65,945,51,1201,52,1170,,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,295,101565,102458,,,102860,102644,,WC,7-5 7-6,3,QF,Marius Barnard,R,188,RSA,31.9671457906,Jim Thomas,R,193,USA,26.2915811088,Agustin Calleri,R,183,ARG,24.3175906913,Franco Squillari,L,183,ARG,25.3826146475,54,1125,105,580,391,100,,,,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,294,102149,102636,,Q,102664,101779,,,6-7 6-4 6-4,3,QF,Paul Rosner,R,193,RSA,28.076659822,Jason Weir Smith,L,188,RSA,25.4209445585,Petr Pala,R,193,CZE,25.2703627652,Pavel Vizner,R,183,CZE,30.4859685147,108,559,107,562,56,1023,61,988,,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,293,101682,102984,1,,102998,101890,,,6-7 7-6 6-4,3,R16,David Adams,R,188,RSA,31.0088980151,Martin Garcia,R,190,ARG,23.6878850103,Jan Michael Gambill,R,190,USA,23.6002737851,Jonathan Stark,R,188,USA,29.7686516085,19,2220,31,1621,43,1330,99,655,,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,292,102388,101937,2,,102139,102312,,,6-4 6-4,3,R16,Simon Aspelin,R,185,SWE,26.6639288159,Robbie Koenig,R,173,RSA,29.5140314853,Eyal Ran,R,183,ISR,28.1314168378,Jairo Velasco Jr,R,183,ESP,26.9650924025,51,1201,52,1170,78,794,97,696,,,,,,,,,,,,,,,,,,,,
2001-301,Auckland,Hard,32,A,20010108,291,102149,102636,,Q,101904,102092,3,,6-3 3-6 7-6,3,R16,Paul Rosner,R,193,RSA,28.076659822,Jason Weir Smith,L,188,RSA,25.4209445585,Chris Haggard,L,178,RSA,29.7002053388,Tom Vanhoudt,R,183,BEL,28.4490075291,108,559,107,562,50,1215,53,1140,,,,,,,,,,,,,,,,,,,,
