tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2020-0451,Doha,Hard,32,A,20200106,269,103523,105323,3,,106382,104136,,,3-6 6-2 (10-6),3,F,Rohan Bopanna,R,190,IND,39.8412046543,Wesley Koolhof,R,,NED,30.7214236824,Luke Bambridge,R,,GBR,24.9582477755,Santiago Gonzalez,R,190,MEX,36.8651608487,42,1905,18,3660,51,1530,49,1613,72,3,1,53,39,26,9,8,0,1,2,1,57,36,24,9,9,2,4,,,,,,,,,,,,,,,,,,,,
2020-0451,Doha,Hard,32,A,20200106,268,106382,104136,,,104233,105047,,,2-6 6-2 (10-4),3,SF,Luke Bambridge,R,,GBR,24.9582477755,Santiago Gonzalez,R,190,MEX,36.8651608487,Frederik Nielsen,R,190,DEN,36.3613963039,Tim Puetz,R,,GER,32.1314168378,51,1530,49,1613,45,1725,62,1340,64,6,1,45,34,28,5,8,2,4,1,3,49,33,21,8,8,0,2,,,,,,,,,,,,,,,,,,,,
2020-0451,Doha,Hard,32,A,20200106,267,103523,105323,3,,105573,105015,2,,7-5 6-2,3,SF,Rohan Bopanna,R,190,IND,39.8412046543,Wesley Koolhof,R,,NED,30.7214236824,Henri Kontinen,R,,FIN,29.5496235455,Franco Skugor,R,193,CRO,32.295687885,42,1905,18,3660,16,3750,35,2630,70,0,1,53,35,27,13,10,3,3,3,0,56,36,23,9,10,4,7,,,,,,,,,,,,,,,,,,,,
2020-0451,Doha,Hard,32,A,20200106,266,104233,105047,,,106207,103946,1,,4-6 6-2 (10-7),3,QF,Frederik Nielsen,R,190,DEN,36.3613963039,Tim Puetz,R,,GER,32.1314168378,Mate Pavic,L,,CRO,26.507871321,Bruno Soares,R,180,BRA,37.8562628337,45,1725,62,1340,17,3740,21,3570,73,3,4,60,46,34,5,9,9,11,3,3,60,40,27,9,9,4,7,,,,,,,,,,,,,,,,,,,,
2020-0451,Doha,Hard,32,A,20200106,265,106382,104136,,,104871,104802,4,,6-3 7-6(7),3,QF,Luke Bambridge,R,,GBR,24.9582477755,Santiago Gonzalez,R,190,MEX,36.8651608487,Jeremy Chardy,R,188,FRA,32.8980150582,Fabrice Martin,R,,FRA,33.3196440794,51,1530,49,1613,30,3190,29,3225,84,3,4,71,46,39,12,11,7,7,5,1,66,51,36,9,10,2,3,,,,,,,,,,,,,,,,,,,,
2020-0451,Doha,Hard,32,A,20200106,264,103523,105323,3,,126207,104527,,,6-3 6-4,3,QF,Rohan Bopanna,R,190,IND,39.8412046543,Wesley Koolhof,R,,NED,30.7214236824,Francis Tiafoe,R,,USA,21.9603011636,Stanislas Wawrinka,R,183,SUI,34.7761806982,42,1905,18,3660,440,90,287,180,48,3,2,52,37,30,7,10,1,2,4,2,40,25,17,7,9,0,3,,,,,,,,,,,,,,,,,,,,
2020-0451,Doha,Hard,32,A,20200106,263,105573,105015,2,,104159,105439,,,6-7(2) 6-4 (13-11),3,QF,Henri Kontinen,R,,FIN,29.5496235455,Franco Skugor,R,193,CRO,32.295687885,Ken Skupski,L,185,GBR,36.7446954141,Neal Skupski,R,,GBR,30.0971937029,16,3750,35,2630,50,1573,31,3075,103,7,4,75,50,43,11,11,2,3,1,2,78,56,39,14,11,1,3,,,,,,,,,,,,,,,,,,,,
2020-0451,Doha,Hard,32,A,20200106,262,106207,103946,1,,106078,105062,,Alt,6-2 6-4,3,R32,Mate Pavic,L,,CRO,26.507871321,Bruno Soares,R,180,BRA,37.8562628337,Egor Gerasimov,R,,BLR,27.151266256,Mikhail Kukushkin,R,183,KAZ,32.0301163587,17,3740,21,3570,1122,17,138,540,32,2,2,44,34,22,6,9,3,5,0,0,43,38,15,3,9,1,6,,,,,,,,,,,,,,,,,,,,
2020-0451,Doha,Hard,32,A,20200106,261,104233,105047,,,105269,104235,,,7-6(10) 6-7(5) (10-7),3,R32,Frederik Nielsen,R,190,DEN,36.3613963039,Tim Puetz,R,,GER,32.1314168378,Marcelo Demoliner,R,,BRA,30.9650924025,Matwe Middelkoop,R,,NED,36.3422313484,45,1725,62,1340,44,1755,55,1450,110,5,2,91,69,51,12,12,6,8,5,4,91,61,44,17,12,8,10,,,,,,,,,,,,,,,,,,,,
2020-0451,Doha,Hard,32,A,20200106,260,104871,104802,4,,104690,104677,,PR,7-6(4) 6-2,3,R32,Jeremy Chardy,R,188,FRA,32.8980150582,Fabrice Martin,R,,FRA,33.3196440794,Divij Sharan,L,,IND,33.8480492813,Artem Sitak,R,,NZL,33.9082819986,30,3190,29,3225,52,1528,61,1345,75,8,1,56,31,25,19,10,0,0,1,0,59,37,24,14,10,5,7,,,,,,,,,,,,,,,,,,,,
