tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1877-540,Wimbledon,Grass,32,G,18770709,1,113987,,,Spencer William Gore,,,GBR,27.33196441,114009,,,Ht Gilson,,,GBR,,6-2 6-0 6-3,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,2,114146,,,Montague Hankey,,,GBR,36.89527721,113977,,,Robert Dalby Dalby,,,GBR,,6-4 6-2 3-6 6-2,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,3,114147,,,John Baker,,,GBR,,114148,,,Jw Trist,,,GBR,,6-1 6-4 6-0,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,4,114149,,,Francis Nathaniel Langham,,,GBR,36.08213552,114150,,,Charles Francis Buller,,,GBR,31.1211499,W/O,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,5,113953,,,Lestocq Robert Erskine,,,GBR,19.8384668,114151,,,E Wheeler,,,GBR,,6-2 6-5 6-2,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,6,114152,,,J Lambert,,,GBR,,114153,,,Hc Soden,,,GBR,,6-1 6-5 6-5,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,7,114154,,,Bayly Nash Akroyd,,,GBR,27.20054757,114155,,,G Nicol,,,GBR,,6-0 6-0 6-4,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,8,113999,,,William Cecil Marshall,,,GBR,28.19438741,114156,,,Fd Jackson,,,GBR,,6-3 6-5 6-0,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,9,113976,,,Frederick William Oliver,,,GBR,41.51129363,114157,,,Major Battye,,,GBR,,6-1 6-1 6-1,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,10,114158,,,Julian Marshall,,,GBR,41.0403833,113969,,,Capt Grimston,,,GBR,,3-6 1-6 6-2 6-3 6-3,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,11,113963,,,Charles Gilbert Heathcote,,,GBR,36.35318275,113982,,,Geoffrey Fowell Buxton,,,GBR,25.04859685,6-0 6-2 6-3,5,R32,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,12,113987,,,Spencer William Gore,,,GBR,27.33196441,114146,,,Montague Hankey,,,GBR,36.89527721,6-4 4-6 6-2 6-1,5,R16,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,13,114149,,,Francis Nathaniel Langham,,,GBR,36.08213552,114147,,,John Baker,,,GBR,,6-3 4-6 6-0 6-5,5,R16,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,14,113953,,,Lestocq Robert Erskine,,,GBR,19.8384668,114152,,,J Lambert,,,GBR,,6-2 6-1 RET,5,R16,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,15,113999,,,William Cecil Marshall,,,GBR,28.19438741,114154,,,Bayly Nash Akroyd,,,GBR,27.20054757,6-4 6-2 6-2,5,R16,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,16,114158,,,Julian Marshall,,,GBR,41.0403833,113976,,,Frederick William Oliver,,,GBR,41.51129363,4-6 6-5 6-1 4-6 6-3,5,R16,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,17,113999,,,William Cecil Marshall,,,GBR,28.19438741,113953,,,Lestocq Robert Erskine,,,GBR,19.8384668,6-5 5-6 6-4 6-1,5,QF,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,18,113963,,,Charles Gilbert Heathcote,,,GBR,36.35318275,114158,,,Julian Marshall,,,GBR,41.0403833,6-3 6-3 6-5,5,QF,,,,,,,,,,,,,,
1877-540,Wimbledon,Grass,32,G,18770709,19,113987,,,Spencer William Gore,,,GBR,27.33196441,114149,,,Francis Nathaniel Langham,,,GBR,36.08213552,6-3 6-2 5-6 6-1,5,QF,,,,,,,,,,,,,,
